
   Трасса полёта КА

__НУ КА-314_________________________________________________
 Номер-15 Тип-8 Мод-0 БЦ-1  Номер ЛШС-1
 Дата  20.06.2018   Время  07:44:33.3710   Виток 2112  
____________________________________________________________
             АСК-2000             ГСК            АСК-ИстЭ
 X,   км    1296.451272      -1184.470898       1268.907161
 Y,   км    6767.318954       6787.814426       6772.537974
 Z,   км      -2.067149         -0.000000         -0.000000
 Vx, м/с     980.475416       1468.439140        967.926016
 Vy, м/с    -195.112640        246.689516       -190.925326
 Vz, м/с    7541.740455       7543.468487       7543.468487
____________________________________________________________
             ОСК-2000          ОСК-ИстЭ
 a,   км    6893.775093       6893.775093
 e,            0.001331151       0.001331151
 i, град      97.550672         97.450832
 W, град      79.152666         79.388058
 w, град      68.368732         68.386071
 u, град     359.982661          0.000000
____________________________________________________________
Sбал  0.001442 (кг.м2)  Масса  950.0000 (кг)  
____________________________________________________________

______ЛШС - 1_______________________________________________
 Мод ГПЗ- 4 (04x04)
 Мод Атм- 0 Мод СвД- 0 Учт  ДУ- 0 
 Учт СОЛ- 0 Учт ЛУН- 0 Учт ПРЛ- 0
____________________________________________________________
____________________________________________________________________________________________
  Дата       Время         Долгота,        Широта,          Высота,        Уг. места Солнца,
                           град            град             км             град
____________________________________________________________________________________________
 20.06.2018 07:44:33,3710   99,89842426    -0,00000000       512.248314    064.52.25,4402
 20.06.2018 07:47:33,3710   97,64998852    11,36076663       511.269323    074.04.06,2766
 20.06.2018 07:50:33,3710   95,27644569    22,70776580       511.654701    078.30.02,9388
 20.06.2018 07:53:33,3710   92,60848945    34,02024709       513.155098    073.39.40,4782
 20.06.2018 07:56:33,3710   89,34883128    45,27210325       515.361960    064.20.41,3904
 20.06.2018 07:59:33,3710   84,84477159    56,41761630       517.779937    053.51.43,9603
 20.06.2018 08:02:33,3710   77,24135637    67,33360856       519.911077    042.59.21,3597
 20.06.2018 08:05:33,3710   58,80695376    77,46948702       521.336937    031.56.55,6524
 20.06.2018 08:08:33,3710  354,58960834    82,48743771       521.785986    020.49.35,5243
 20.06.2018 08:11:33,3710  303,24123552    75,44996461       521.176688    009.39.50,4425
 20.06.2018 08:14:33,3710  288,62968719    65,03389711       519.630330   -001.30.49,5921
 20.06.2018 08:17:33,3710  281,98592949    54,04939894       517.451855   -012.41.14,7315
 20.06.2018 08:20:33,3710  277,83848585    42,87579115       515.081138   -023.50.12,2443
 20.06.2018 08:23:33,3710  274,74225532    31,60898501       513.021397   -034.56.01,3962
